fecha,descripcion,monto,mes
2024-11-28,Otros,383.26,noviembre
2025-04-30,Ropa,416.9,abril
2025-05-04,Transporte,271.23,mayo
2024-09-18,Transporte,35.14,septiembre
2024-11-07,Transporte,293.61,noviembre
2025-02-11,Servicios,201.21,febrero
2024-10-12,Servicios,63.39,octubre
2024-06-09,Educación,381.68,junio
2025-02-23,Transporte,7.69,febrero
2025-02-09,Otros,399.6,febrero
2024-08-02,Transporte,442.83,agosto
2024-07-24,Entretenimiento,53.0,julio
2024-06-19,Educación,249.52,junio
2025-06-02,Educación,338.1,junio
2024-10-03,Educación,147.62,octubre
2025-01-22,Educación,34.09,enero
2025-01-07,Entretenimiento,241.4,enero
2025-01-15,Transporte,376.12,enero
2025-04-26,Entretenimiento,219.07,abril
2025-01-07,Otros,342.5,enero
2024-12-03,Ropa,298.51,diciembre
2024-06-28,Salud,250.76,junio
2024-10-07,Comida,238.38,octubre
2025-01-08,Salud,244.71,enero
2024-07-13,Otros,104.53,julio
2024-11-02,Servicios,222.4,noviembre
2025-01-29,Comida,366.66,enero
2024-06-14,Transporte,210.93,junio
2025-03-27,Otros,164.12,marzo
2024-10-11,Salud,436.64,octubre
2025-03-22,Transporte,467.37,marzo
2025-03-18,Ropa,417.83,marzo
2025-04-23,Entretenimiento,314.45,abril
2024-10-08,Comida,348.44,octubre
2025-02-25,Comida,68.47,febrero
2025-02-07,Ropa,340.26,febrero
2025-01-18,Servicios,70.72,enero
2024-10-24,Supermercado,356.42,octubre
2025-01-19,Comida,90.87,enero
2024-07-07,Comida,45.83,julio
2024-12-25,Entretenimiento,295.95,diciembre
2024-07-19,Supermercado,146.62,julio
2024-09-26,Entretenimiento,224.97,septiembre
2025-03-05,Comida,102.68,marzo
2025-04-25,Servicios,395.97,abril
2025-01-22,Servicios,305.96,enero
2025-02-24,Transporte,13.36,febrero
2024-09-02,Ropa,489.14,septiembre
2024-12-30,Educación,201.41,diciembre
2025-01-07,Comida,314.41,enero
2024-08-03,Ropa,286.63,agosto
2024-10-13,Entretenimiento,210.16,octubre
2024-08-11,Servicios,246.53,agosto
2025-01-11,Supermercado,498.59,enero
2025-03-14,Otros,463.41,marzo
2025-05-01,Entretenimiento,192.57,mayo
2024-11-01,Supermercado,209.38,noviembre
2024-08-18,Servicios,223.32,agosto
2024-09-12,Servicios,315.79,septiembre
2024-09-13,Ropa,255.85,septiembre
2024-10-04,Transporte,102.84,octubre
2024-12-10,Ropa,328.09,diciembre
2025-04-27,Educación,246.82,abril
2024-07-08,Comida,480.68,julio
2024-10-27,Comida,438.39,octubre
2025-04-27,Comida,126.55,abril
2024-12-22,Educación,112.73,diciembre
2025-03-17,Supermercado,98.88,marzo
2024-09-17,Salud,298.4,septiembre
2024-07-22,Educación,169.18,julio
2024-10-02,Transporte,172.95,octubre
2024-10-05,Transporte,446.86,octubre
2024-11-01,Educación,432.12,noviembre
2024-09-15,Otros,417.27,septiembre
2024-06-10,Otros,179.21,junio
2024-10-29,Comida,396.77,octubre
2025-01-26,Ropa,315.96,enero
2025-02-18,Salud,405.34,febrero
2025-05-29,Transporte,147.68,mayo
2024-09-24,Educación,250.15,septiembre
2024-08-18,Supermercado,179.69,agosto
2024-07-15,Otros,187.31,julio
2025-02-20,Supermercado,361.17,febrero
2024-08-21,Servicios,389.96,agosto
2024-09-10,Supermercado,47.82,septiembre
2024-07-29,Educación,250.24,julio
2025-04-24,Entretenimiento,238.48,abril
2025-01-08,Entretenimiento,106.98,enero
2025-06-04,Supermercado,463.13,junio
2025-04-16,Otros,434.81,abril
2024-10-13,Supermercado,162.99,octubre
2025-02-04,Supermercado,422.01,febrero
2024-06-24,Educación,397.28,junio
2025-01-14,Supermercado,59.5,enero
2025-04-10,Supermercado,36.33,abril
2025-04-13,Supermercado,202.63,abril
2024-08-20,Educación,125.46,agosto
2025-01-04,Ropa,472.23,enero
2025-05-06,Transporte,64.02,mayo
2024-09-16,Otros,499.08,septiembre
